類型代號,計價幣別,基金統編,基金名稱,基金規模(台幣),基金規模市場占有率,單位淨值(台幣),受益權單位數,自然人受益人數,法人受益人數,總受益人數,本年申購總金額(台幣),本年買回總金額(台幣),年分
,,,,,,,,,,,,,
,,,,,,,,,,,,,
AA1,TWD,00965469,兆豐國際第一基金,"878,129,789",0.06%,7.06,"124,343,804.02","1,290",35,"1,325","615,229,767","829,259,124",2008.0
AB1,TWD,00971976,兆豐國際萬全基金,"376,500,413",0.02%,9.74,"38,638,191.70","2,107",20,"2,127","136,801,813","137,365,248",2008.0
AA2,TWD,00992769,兆豐國際全球基金,"1,403,546,408",0.09%,22.86,"61,404,834.12","7,052",27,"7,079","346,006,091","680,263,165",2008.0
AA1,TWD,01050148,兆豐國際國民基金,"467,449,709",0.03%,15.47,"30,213,279.87","1,712",25,"1,737","111,223,432","164,026,195",2008.0
AA1,TWD,10341837,兆豐國際豐台灣基金,"265,404,751",0.02%,10.28,"25,815,185.83","2,820",34,"2,854","1,180,152,586","1,089,019,507",2008.0
AA2,TWD,14699772,兆豐國際生命科學基金,"300,152,373",0.02%,9.75,"30,784,895.49","2,245",16,"2,261","157,275,028","224,686,877",2008.0
AC11,TWD,18044796,兆豐國際寶鑽債券基金,"25,782,471,329",1.64%,11.8845,"2,169,427,393.62","1,344",98,"1,442","144,089,659,450","166,144,771,156",2008.0
AB1,TWD,29208036,兆豐國際安盈基金,"411,353,710",0.03%,9.6308,"42,712,258.72",143,21,164,"361,153,847","478,673,039",2008.0
AA1,TWD,73991751,兆豐國際電子基金,"635,369,255",0.04%,12.8,"49,642,843.06","3,170",26,"3,196","343,653,149","399,293,038",2008.0
AA1,TWD,81584996,兆豐國際中小基金,"771,319,274",0.05%,7.65,"100,843,884.42","2,019",30,"2,049","402,847,818","575,109,488",2008.0
AA1,TWD,92003790,兆豐國際精選二十基金,"437,214,083",0.03%,6.39,"68,437,184.04","1,823",15,"1,838","169,802,220","261,505,901",2008.0
兆豐國際投信,,,,"31,728,911,094",2.02%,,"2,742,263,754.89","25,725",347,"26,072","147,913,805,201","170,983,972,738",2008.0
AA1,TWD,00968521,建弘福元基金,"430,911,043",0.03%,5.87,"73,452,005.50","4,481",47,"4,528","158,106,555","142,061,427",2008.0
AA2,TWD,00969710,建弘泛太基金,"254,768,088",0.02%,7.48,"34,051,443.90","2,098",20,"2,118","38,459,544","54,039,114",2008.0
AA1,TWD,00971096,建弘雙福基金,"276,351,238",0.02%,4.33,"63,863,956.80","5,621",13,"5,634","125,178,603","118,370,451",2008.0
AC11,TWD,01032249,建弘全家福基金,"45,544,541,007",2.90%,169.849,"268,146,981.00",759,219,978,"139,573,607,987","134,898,938,111",2008.0
AA1,TWD,01032803,建弘萬得福基金,"612,423,274",0.04%,10.69,"57,282,201.90","2,428",30,"2,458","1,854,414,656","961,571,681",2008.0
AA1,TWD,10300195,建弘金鑽基金,"575,995,553",0.04%,5.71,"100,837,178.70","1,943",41,"1,984","1,661,454,974","595,304,856",2008.0
AA2,TWD,10338642,建弘全球大趨勢基金,"371,108,245",0.02%,10.14,"36,588,721.90",225,21,246,"820,040,388","444,645,932",2008.0
